S.NO,Time,PM,Quality
1,1,157,Unhealthy
2,1,157,Unhealthy
3,1,157,Unhealthy
4,1,157,Unhealthy
5,1,157,Unhealthy
6,1,157,Unhealthy
7,1,157,Unhealthy
8,1,157,Unhealthy
9,1,157,Unhealthy
10,1,157,Unhealthy
11,1,157,Unhealthy
12,1,157,Unhealthy
13,2,75,moderate
14,2,75,moderate
15,2,75,moderate
16,2,75,moderate
17,2,75,moderate
18,2,75,moderate
19,2,75,moderate
20,2,75,moderate
21,2,75,moderate
22,2,75,moderate
23,2,75,moderate
24,2,75,moderate
25,2,75,moderate
26,2,75,moderate
27,2,75,moderate
28,2,75,moderate
29,1,154,Unhealthy
30,1,154,Unhealthy
31,1,154,Unhealthy
32,1,154,Unhealthy
33,1,154,Unhealthy
34,1,154,Unhealthy
35,1,154,Unhealthy
36,1,154,Unhealthy
37,1,154,Unhealthy
38,1,154,Unhealthy
39,1,154,Unhealthy
40,1,154,Unhealthy
41,2,134,Above moderate
42,2,134,Above moderate
43,2,134,Above moderate
44,2,134,Above moderate
45,2,134,Above moderate
46,2,134,Above moderate
47,2,134,Above moderate
48,2,134,Above moderate
49,2,134,Above moderate
50,2,134,Above moderate
51,2,134,Above moderate
52,2,134,Above moderate
53,2,134,Above moderate
54,2,134,Above moderate
55,2,134,Above moderate
56,2,134,Above moderate
57,2,134,Above moderate
58,2,134,Above moderate
59,2,134,Above moderate
60,2,134,Above moderate
61,0,126,Above moderate
62,0,126,Above moderate
63,0,126,Above moderate
64,0,126,Above moderate
65,0,126,Above moderate
66,0,126,Above moderate
67,0,126,Above moderate
68,0,126,Above moderate
69,0,126,Above moderate
70,0,126,Above moderate
71,0,126,Above moderate
72,0,126,Above moderate
73,0,126,Above moderate
74,0,126,Above moderate
75,0,126,Above moderate
76,0,126,Above moderate
