,S.NO,Time,PM,RED,GREEN,BLUE,CONTRAST,Quality
0,1,1,157,0.01259284,0.02033961,0.011258396,332.5132273,Unhealthy
1,2,1,157,0.030561227,0.029619151,0.022982772,1043.261077,Unhealthy
2,3,1,157,0.006540761,0.019174516,0.018312531,1980.796457,Unhealthy
3,4,2,130,0.02601482,0.008045726,0.025837037,625.9673476,Above moderate
4,5,2,130,0.026047353,0.015300791,0.003810811,399.0537438,Above moderate
5,6,2,130,0.003558995,0.011778786,0.008925892,1546.144524,Above moderate
6,7,2,130,0.014060767,0.011345879,0.015541727,3740.714886,Above moderate
7,8,1,154,0.02238723,0.011321987,0.024307918,2114.143096,Unhealthy
8,9,1,154,0.013322881,0.023673005,0.023225391,3345.303274,Unhealthy
9,10,1,154,0.009204111,0.025618374,0.016968149,2066.494554,Unhealthy
10,11,2,134,0.010525071,0.004594942,0.017484205,7160.759469,Above moderate
11,12,2,134,0.008578803,0.010770746,0.025446843,20226.15153,Above moderate
12,13,2,134,0.019757664,0.018350643,0.014862395,619.9818894,Above moderate
13,14,2,134,0.005571427,0.020183422,0.022249574,3808.716095,Above moderate
14,15,2,134,0.011163297,0.000739825,0.009196252,3336.866339,Above moderate
